,State,Year,Female Count,Male Count,Unknown,Unkown
0,AL,1991,107,321,,6.0
1,AL,1992,54,216,,8.0
2,AL,2006,1,1,,0.0
3,AL,2008,1,1,,0.0
4,AL,2009,1,1,,0.0
5,AL,2010,0,1,,0.0
6,AL,2012,0,2,,0.0
7,AL,2013,2,0,,0.0
8,AL,2014,1,0,,0.0
9,AL,2015,1,2,,0.0
10,AL,2016,1,1,,1.0
11,AL,2017,0,2,,0.0
12,AR,2001,0,1,,0.0
13,AR,2002,2,1,,0.0
14,AR,2003,12,29,,2.0
15,AR,2004,17,58,,0.0
16,AR,2005,22,80,,1.0
17,AR,2006,22,81,,3.0
18,AR,2007,31,77,,1.0
19,AR,2008,21,82,,1.0
20,AR,2009,37,133,,1.0
21,AR,2010,38,91,,3.0
22,AR,2011,33,123,,3.0
23,AR,2012,41,130,,2.0
24,AR,2013,34,121,,0.0
25,AR,2014,41,118,,6.0
26,AR,2015,40,138,,1.0
27,AR,2016,45,164,,1.0
28,AR,2017,73,176,,1.0
29,AZ,2005,1,1,,0.0
30,AZ,2006,1,1,,0.0
31,AZ,2007,2,8,,0.0
32,AZ,2008,0,4,,0.0
33,AZ,2009,4,6,,0.0
34,AZ,2010,1,10,,0.0
35,AZ,2011,6,8,,0.0
36,AZ,2012,6,3,,0.0
37,AZ,2013,5,8,,0.0
38,AZ,2014,5,4,,1.0
39,AZ,2015,1,9,,0.0
40,AZ,2016,3,8,,0.0
41,AZ,2017,10,15,,0.0
42,CO,1992,1,2,,0.0
43,CO,1997,20,42,,0.0
44,CO,1998,21,39,,0.0
45,CO,1999,24,65,,0.0
46,CO,2000,25,41,,0.0
47,CO,2001,18,47,,0.0
48,CO,2002,28,46,,0.0
49,CO,2003,29,47,,0.0
50,CO,2004,28,47,,0.0
51,CO,2005,35,107,,0.0
52,CO,2006,34,96,,0.0
53,CO,2007,43,85,,0.0
54,CO,2008,42,92,,0.0
55,CO,2009,34,89,,0.0
56,CO,2010,29,79,,1.0
57,CO,2011,40,96,,0.0
58,CO,2012,51,110,,0.0
59,CO,2013,54,106,,0.0
60,CO,2014,41,99,,0.0
61,CO,2015,40,97,,0.0
62,CO,2016,52,124,,0.0
63,CO,2017,56,162,,0.0
64,CT,1998,0,3,,0.0
65,CT,1999,3,1,,0.0
66,CT,2000,5,13,,0.0
67,CT,2001,10,21,,0.0
68,CT,2002,4,16,,0.0
69,CT,2003,15,13,,0.0
70,CT,2004,15,24,,0.0
71,CT,2005,16,29,,0.0
72,CT,2006,6,29,,0.0
73,CT,2007,16,31,,0.0
74,CT,2008,11,56,,0.0
75,CT,2009,14,27,,0.0
76,CT,2010,14,45,,0.0
77,CT,2011,14,50,,0.0
78,CT,2012,32,48,,0.0
79,CT,2013,11,32,,0.0
80,CT,2014,11,30,,0.0
81,CT,2015,17,32,,0.0
82,CT,2016,13,35,,0.0
83,CT,2017,12,32,,0.0
84,DC,2000,0,1,,0.0
85,DC,2001,0,1,,0.0
86,DC,2002,1,0,,0.0
87,DC,2003,0,1,,0.0
88,DC,2009,0,1,,0.0
89,DC,2016,0,1,,0.0
90,DE,2001,7,22,,0.0
91,DE,2002,11,19,,0.0
92,DE,2003,3,18,,0.0
93,DE,2004,8,20,,0.0
94,DE,2005,11,30,,0.0
95,DE,2006,6,36,,0.0
96,DE,2007,9,30,,0.0
97,DE,2008,10,47,,0.0
98,DE,2009,9,32,,0.0
99,DE,2010,5,46,,0.0
100,DE,2011,9,39,,0.0
101,DE,2012,9,47,,0.0
102,DE,2013,10,31,,0.0
103,DE,2014,8,41,,0.0
104,DE,2015,10,46,,0.0
105,DE,2016,12,45,,0.0
106,DE,2017,8,46,,0.0
107,GA,2004,0,2,,0.0
108,GA,2007,0,2,,0.0
109,GA,2008,0,2,,0.0
110,IA,1992,13,16,,0.0
111,IA,1993,30,23,,0.0
112,IA,1994,16,24,,0.0
113,IA,1995,20,34,,0.0
114,IA,1996,21,34,,0.0
115,IA,1997,15,26,,0.0
116,IA,1998,24,23,,0.0
117,IA,1999,15,33,,0.0
118,IA,2000,17,32,,0.0
119,IA,2001,20,29,,0.0
120,IA,2002,18,28,,0.0
121,IA,2003,20,30,,0.0
122,IA,2004,15,29,,0.0
123,IA,2005,19,21,,0.0
124,IA,2006,29,25,,0.0
125,IA,2007,11,28,,0.0
126,IA,2008,29,48,,0.0
127,IA,2009,15,23,,0.0
128,IA,2010,20,19,,0.0
129,IA,2011,18,27,,0.0
130,IA,2012,14,35,,0.0
131,IA,2013,11,31,,0.0
132,IA,2014,20,39,,0.0
133,IA,2015,23,51,,0.0
134,IA,2016,25,49,,0.0
135,IA,2017,21,78,,1.0
136,ID,1992,6,11,,0.0
137,ID,1993,16,12,,0.0
138,ID,1994,11,28,,0.0
139,ID,1995,13,30,,0.0
140,ID,1996,19,26,,1.0
141,ID,1997,10,28,,0.0
142,ID,1998,13,23,,0.0
143,ID,1999,10,15,,0.0
144,ID,2000,5,11,,0.0
145,ID,2001,11,19,,0.0
146,ID,2002,9,27,,0.0
147,ID,2003,14,12,,0.0
148,ID,2004,10,21,,0.0
149,ID,2005,12,29,,0.0
150,ID,2006,14,18,,0.0
151,ID,2007,14,35,,0.0
152,ID,2008,5,17,,1.0
153,ID,2009,6,16,,0.0
154,ID,2010,12,10,,0.0
155,ID,2011,16,14,,1.0
156,ID,2012,12,15,,1.0
157,ID,2013,10,18,,0.0
158,ID,2014,9,21,,0.0
159,ID,2015,10,20,,0.0
160,ID,2016,17,30,,0.0
161,ID,2017,12,16,,0.0
162,IL,1993,56,130,,5.0
163,IL,1994,44,123,,3.0
164,IL,2004,1,0,,0.0
165,IL,2006,5,14,,0.0
166,IL,2007,0,22,,0.0
167,IL,2008,7,13,,0.0
168,IL,2009,5,17,,0.0
169,IL,2010,2,21,,0.0
170,IL,2011,4,18,,0.0
171,IL,2012,3,10,,0.0
172,IL,2013,2,17,,0.0
173,IL,2014,3,14,,0.0
174,IL,2015,5,14,,0.0
175,IL,2016,7,19,,0.0
176,IL,2017,1,17,,0.0
177,IN,2014,3,16,,1.0
178,IN,2015,2,7,,0.0
179,IN,2016,6,15,,0.0
180,IN,2017,3,15,,0.0
181,KS,2000,21,26,,0.0
182,KS,2001,22,24,,0.0
183,KS,2002,16,23,,0.0
184,KS,2003,24,50,,0.0
185,KS,2004,27,48,,0.0
186,KS,2005,19,30,,0.0
187,KS,2006,23,44,,0.0
188,KS,2007,18,51,,0.0
189,KS,2008,28,47,,0.0
190,KS,2009,22,54,,0.0
191,KS,2010,21,36,,0.0
192,KS,2011,19,44,,0.0
193,KS,2012,15,37,,0.0
194,KS,2013,22,52,,0.0
195,KS,2014,21,30,,1.0
196,KS,2015,29,46,,0.0
197,KS,2016,23,53,,0.0
198,KS,2017,25,71,,0.0
199,KY,1998,0,2,,0.0
200,KY,1999,2,2,,0.0
201,KY,2000,2,3,,0.0
202,KY,2001,2,3,,0.0
203,KY,2002,3,7,,0.0
204,KY,2003,2,8,,0.0
205,KY,2004,7,11,,0.0
206,KY,2005,3,6,,0.0
207,KY,2006,4,8,,0.0
208,KY,2007,2,9,,0.0
209,KY,2008,5,7,,0.0
210,KY,2009,33,61,,0.0
211,KY,2010,43,59,,0.0
212,KY,2011,37,51,,1.0
213,KY,2012,43,93,,0.0
214,KY,2013,43,82,,1.0
215,KY,2014,38,103,,0.0
216,KY,2015,55,162,,0.0
217,KY,2016,77,190,,0.0
218,KY,2017,62,200,,1.0
219,LA,2003,6,12,,0.0
220,LA,2004,4,17,,0.0
221,LA,2005,8,10,,0.0
222,LA,2006,9,24,,2.0
223,LA,2007,11,32,,0.0
224,LA,2008,8,21,,3.0
225,LA,2009,8,20,,0.0
226,LA,2010,8,24,,0.0
227,LA,2011,8,28,,0.0
228,LA,2012,4,10,,0.0
229,LA,2013,10,20,,1.0
230,LA,2014,13,15,,1.0
231,LA,2015,5,34,,0.0
232,LA,2016,9,32,,1.0
233,LA,2017,10,53,,0.0
234,MA,1995,8,4,,0.0
235,MA,1996,14,20,,0.0
236,MA,1997,9,16,,0.0
237,MA,1998,9,25,,0.0
238,MA,1999,11,25,,0.0
239,MA,2000,24,25,,0.0
240,MA,2001,14,44,,0.0
241,MA,2002,16,45,,0.0
242,MA,2003,23,39,,1.0
243,MA,2004,20,68,,1.0
244,MA,2005,18,71,,1.0
245,MA,2006,23,58,,1.0
246,MA,2007,44,61,,0.0
247,MA,2008,16,78,,1.0
248,MA,2009,36,71,,0.0
249,MA,2010,40,90,,0.0
250,MA,2011,22,85,,0.0
251,MA,2012,18,40,,1.0
252,MA,2013,32,63,,0.0
253,MA,2014,17,58,,0.0
254,MA,2015,27,60,,0.0
255,MA,2016,23,56,,0.0
256,MA,2017,27,76,,0.0
257,MD,2017,3,10,,0.0
258,ME,2006,0,2,,0.0
259,ME,2007,1,2,,0.0
260,ME,2008,4,6,,0.0
261,ME,2009,2,2,,0.0
262,ME,2010,0,2,,0.0
263,ME,2011,4,1,,0.0
