State,Year,Acquaintance,Babysittee,Boyfriend or Girlfriend,Child of Boyfriend or Girlfriend,Child,Common Law Spouse,Employee,Employer,Friend,Grandchild,Grandparent,Homosexual Relationship,In-Law,Neighbor,Other Family Member,Otherwise Known,Parent,Unknown,Sibling,Stepchild,Spouse,Stepparent,Stepsibling,Stranger,Offender,Ex-Spouse
AL,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AL,2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AL,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AL,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AL,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AL,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AL,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
AL,2017,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AR,2007,22,0,6,0,1,0,0,0,3,0,0,0,2,1,0,8,3,62,4,0,7,1,0,13,0,0
AR,2008,12,0,4,1,2,0,0,1,2,0,0,0,1,0,3,11,0,84,0,1,6,1,0,15,0,1
AR,2009,56,0,7,1,5,0,0,0,1,0,0,0,0,1,1,13,3,121,1,0,8,0,0,6,0,1
AR,2010,21,0,8,0,3,1,0,0,2,0,0,1,0,1,2,11,1,88,1,2,4,1,0,15,0,1
AR,2011,19,0,9,2,2,1,0,0,0,0,0,0,0,1,2,8,2,131,0,0,6,1,1,13,1,0
AR,2012,40,1,9,0,1,0,0,1,3,0,0,1,0,1,1,10,1,148,0,0,6,0,0,14,2,2
AR,2013,28,0,5,0,3,0,0,0,3,0,1,0,2,1,3,7,1,110,4,0,10,1,0,14,1,0
AR,2014,22,0,8,0,5,0,0,0,4,0,3,0,1,0,2,16,4,151,1,1,3,0,0,6,1,0
AR,2015,36,0,12,0,4,1,0,0,9,0,2,1,0,0,5,26,1,140,3,0,7,1,0,3,3,0
AR,2016,29,0,14,2,5,0,0,0,10,0,0,0,2,1,6,19,2,179,7,0,8,0,0,8,1,1
AR,2017,33,1,6,3,9,0,0,0,10,0,1,1,1,1,1,17,4,220,2,1,14,1,0,13,1,1
AZ,2007,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0
AZ,2008,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2009,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,1,0
AZ,2010,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,3,0,0
AZ,2011,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,1,0,0,1,0,1
AZ,2012,3,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2013,1,0,1,0,6,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,7,0,0
AZ,2014,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
AZ,2015,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,1,0,1,0,0,4,0,0
AZ,2016,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0
AZ,2017,1,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,15,0,1
CO,2007,29,1,12,1,9,2,0,0,5,0,0,1,0,0,2,10,2,51,1,1,9,0,0,48,0,0
CO,2008,27,1,11,4,10,0,0,0,3,0,0,0,0,1,2,21,4,50,1,0,8,0,0,35,0,3
CO,2009,30,0,8,0,10,1,2,0,5,1,0,0,1,4,1,9,3,61,2,1,9,1,0,32,2,3
CO,2010,26,1,4,1,8,0,0,3,3,0,0,1,0,1,1,11,5,67,1,2,5,1,0,13,1,0
CO,2011,37,1,11,2,10,1,0,0,4,0,2,0,0,3,0,12,5,47,1,1,6,0,0,27,3,3
CO,2012,20,0,13,0,12,2,0,0,4,1,1,0,1,0,1,15,4,87,2,0,14,0,0,43,0,0
CO,2013,31,2,9,2,10,0,0,1,11,0,0,0,1,1,1,9,6,67,0,3,16,0,0,16,0,1
CO,2014,47,0,5,1,5,2,0,0,10,1,2,0,0,1,6,16,7,44,0,3,14,1,0,25,0,0
CO,2015,43,0,5,1,7,1,0,0,4,0,0,0,0,1,3,14,1,52,2,0,16,1,0,42,0,0
CO,2016,33,0,15,1,9,0,0,0,6,0,0,1,0,4,1,8,3,96,2,1,15,1,0,47,2,4
CO,2017,53,1,8,0,10,1,0,0,12,0,0,0,1,3,4,21,7,144,5,1,6,3,0,38,2,0
CT,2007,8,0,5,0,1,0,0,0,1,1,0,0,0,0,0,5,0,12,0,2,2,0,0,10,0,1
CT,2008,22,0,5,1,5,1,0,0,3,0,1,0,0,0,4,9,1,12,0,0,2,0,0,9,0,0
CT,2009,10,0,1,0,2,1,0,0,3,0,1,0,0,0,1,6,1,11,0,0,2,0,0,5,5,0
CT,2010,11,0,2,1,0,0,1,0,2,0,0,1,1,0,1,6,1,14,0,0,4,0,0,9,0,1
CT,2011,15,3,4,0,2,0,0,0,1,0,0,0,0,0,0,4,1,19,0,0,2,0,0,9,1,1
CT,2012,15,0,4,0,0,0,0,0,6,0,0,1,0,0,0,6,5,11,2,0,3,0,0,28,0,0
CT,2013,5,0,5,0,3,0,0,0,1,2,0,1,0,0,0,16,2,12,0,0,1,0,0,3,0,0
CT,2014,8,1,2,1,6,0,0,0,0,0,0,0,0,0,3,5,1,6,0,0,3,0,0,5,0,0
CT,2015,11,0,2,1,3,1,1,0,0,0,0,0,0,0,0,2,3,12,1,0,3,0,0,13,0,0
CT,2016,11,0,7,0,0,0,0,0,2,0,0,0,1,0,0,3,1,18,0,0,2,0,0,7,0,0
CT,2017,13,0,2,0,1,0,0,0,1,0,0,0,0,0,2,8,0,5,1,0,2,0,0,10,0,0
DC,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DC,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,2007,4,0,3,0,1,0,0,0,1,0,0,0,0,0,1,5,0,28,0,0,0,0,0,13,0,0
DE,2008,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,20,0,0,3,0,0,25,0,0
DE,2009,10,0,1,2,2,0,0,0,1,0,0,0,0,0,0,2,0,20,0,0,2,0,0,12,0,0
DE,2010,15,0,3,0,2,0,0,0,5,0,0,0,0,0,0,11,1,24,0,0,1,0,0,13,0,0
DE,2011,11,0,1,1,0,0,0,0,2,0,0,0,0,2,0,3,0,25,0,0,4,0,0,17,0,0
DE,2012,12,0,2,1,2,0,0,0,3,0,0,0,1,0,1,8,0,18,0,0,0,1,0,14,0,0
DE,2013,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,2,12,0,0,2,0,0,10,0,0
DE,2014,2,1,2,1,4,0,0,0,0,0,0,0,0,0,0,3,1,23,0,0,2,0,0,25,0,0
DE,2015,8,1,1,1,3,0,0,0,2,0,0,0,1,0,0,9,0,20,0,0,3,0,0,18,1,0
DE,2016,9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,11,1,13,0,0,1,0,0,15,1,1
DE,2017,11,0,2,0,4,0,0,0,0,0,0,0,0,0,0,14,0,17,1,0,1,0,0,10,0,1
GA,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
GA,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,2007,15,1,5,0,3,0,0,0,1,0,0,0,0,1,0,0,1,7,1,0,2,1,0,4,0,0
IA,2008,25,0,6,2,12,0,0,0,1,0,0,0,0,1,1,7,0,14,1,3,6,0,0,11,0,1
