,acquaintance,babysittee,boyfriend_girlfriend,child,child_boyfriend_girlfriend,common_law_spouse,data_year,employee,employer,ex_spouse,friend,grandchild,grandparent,homosexual_relationship,in_law,neighbor,offender,other_family_member,otherwise_known,parent,relationship_unknown,sibling,spouse,stepchild,stepparent,stepsibling,stranger
0,836,11,173,148,27,16,2008,1,1,21,113,4,10,6,10,24,9,68,278,61,1465,39,153,17,10,5,670
1,196,2,29,17,5,8,1995,0,0,5,22,3,1,3,5,1,13,17,18,3,114,10,42,0,0,0,125
2,901,12,204,148,31,19,2011,1,3,22,124,8,16,6,23,44,19,73,297,70,1625,42,183,13,16,4,565
3,940,10,194,147,25,9,2013,0,1,14,147,9,15,7,20,27,10,56,321,80,1618,47,197,10,10,2,553
4,583,4,138,102,14,14,2003,3,6,11,78,3,3,4,16,18,5,44,159,48,850,23,129,11,9,2,411
5,856,7,173,128,18,20,2006,5,3,11,101,6,8,10,27,18,16,59,287,50,1945,26,167,18,14,1,622
6,868,7,209,124,32,16,2010,1,6,16,114,8,7,6,20,26,19,63,252,88,1575,45,199,24,9,3,555
7,910,6,177,163,22,13,2009,3,3,16,95,4,5,2,16,40,18,85,331,66,1674,45,202,26,9,1,572
8,262,0,39,26,1,16,1992,0,0,5,53,0,0,2,12,8,7,23,6,12,205,15,56,4,1,0,215
9,1073,15,255,156,24,9,2016,0,4,23,190,2,15,17,23,58,14,83,496,93,2222,53,200,19,12,0,769
10,907,9,198,183,25,14,2014,5,1,15,130,8,10,9,16,41,13,83,378,95,1702,37,192,19,10,0,573
11,1007,13,241,187,37,18,2015,3,5,15,166,0,15,14,17,30,27,85,397,67,2022,48,205,13,13,5,609
12,539,7,128,84,15,15,2002,3,2,6,102,1,8,8,10,19,6,35,141,38,816,22,145,14,7,2,452
13,542,6,123,96,14,15,2001,3,10,14,75,3,9,1,13,22,13,30,146,23,742,17,145,7,6,0,359
14,351,0,82,20,0,11,1991,3,2,8,61,0,0,2,8,19,0,34,21,18,131,14,61,1,4,1,289
15,275,7,52,30,3,12,1997,1,1,3,49,1,1,7,5,10,4,9,54,22,222,10,55,5,2,1,201
16,415,6,82,49,8,13,1999,3,2,14,78,2,5,3,14,14,16,26,107,30,393,16,105,8,8,1,196
17,850,10,185,129,11,26,2005,0,1,19,98,3,10,7,19,25,5,52,267,57,1770,40,155,8,9,2,539
18,378,4,61,60,7,28,1998,2,2,8,56,2,2,5,10,9,17,31,57,22,282,19,81,6,5,0,193
19,637,4,139,90,8,23,2004,1,3,16,88,3,7,9,10,25,11,54,192,47,1037,36,124,8,5,3,398
20,936,8,205,141,27,12,2012,2,5,16,134,3,13,8,16,31,20,67,328,71,1781,38,171,11,13,0,625
21,1197,11,244,166,28,12,2017,6,2,21,205,3,20,7,13,50,28,82,481,118,2613,52,228,17,17,4,716
22,833,10,182,133,21,8,2007,2,6,21,86,7,3,10,16,39,12,48,310,49,1805,39,154,20,12,1,867
23,462,4,123,82,9,15,2000,1,0,18,60,1,3,4,7,17,10,32,109,40,646,29,109,7,9,2,344
24,243,1,45,38,11,14,1996,1,0,3,32,0,4,2,6,6,10,8,26,14,169,7,62,0,2,0,146
25,269,5,53,20,6,13,1993,0,0,7,59,0,3,4,4,10,15,11,42,16,168,11,61,4,4,1,171
