,State,Year,Female Count,Male Count,Unknown,Unkown
0,AL,1991,44,237,,326.0
1,AL,1992,48,240,,66.0
2,AL,2006,0,5,,0.0
3,AL,2008,0,3,,0.0
4,AL,2009,1,2,,0.0
5,AL,2010,0,3,,0.0
6,AL,2012,0,2,,0.0
7,AL,2013,1,1,,0.0
8,AL,2014,0,1,,0.0
9,AL,2015,0,3,,0.0
10,AL,2016,0,4,,0.0
11,AL,2017,0,3,,0.0
12,AR,2001,1,1,,0.0
13,AR,2002,1,1,,0.0
14,AR,2003,6,35,,4.0
15,AR,2004,9,67,,8.0
16,AR,2005,11,95,,8.0
17,AR,2006,17,76,,10.0
18,AR,2007,16,85,,3.0
19,AR,2008,8,99,,4.0
20,AR,2009,32,160,,19.0
21,AR,2010,14,116,,20.0
22,AR,2011,26,134,,26.0
23,AR,2012,27,175,,28.0
24,AR,2013,15,147,,20.0
25,AR,2014,26,147,,23.0
26,AR,2015,32,177,,20.0
27,AR,2016,26,198,,28.0
28,AR,2017,32,211,,43.0
29,AZ,2005,0,2,,0.0
30,AZ,2006,0,4,,0.0
31,AZ,2007,1,7,,0.0
32,AZ,2008,1,3,,0.0
33,AZ,2009,2,11,,0.0
34,AZ,2010,0,13,,0.0
35,AZ,2011,3,15,,0.0
36,AZ,2012,2,5,,0.0
37,AZ,2013,7,14,,0.0
38,AZ,2014,2,7,,0.0
39,AZ,2015,4,9,,0.0
40,AZ,2016,5,6,,0.0
41,AZ,2017,6,18,,0.0
42,CO,1992,1,4,,0.0
43,CO,1997,7,58,,8.0
44,CO,1998,6,63,,4.0
45,CO,1999,17,67,,5.0
46,CO,2000,5,70,,8.0
47,CO,2001,9,73,,6.0
48,CO,2002,3,73,,12.0
49,CO,2003,11,85,,10.0
50,CO,2004,19,83,,9.0
51,CO,2005,14,121,,27.0
52,CO,2006,16,108,,30.0
53,CO,2007,32,126,,17.0
54,CO,2008,18,142,,7.0
55,CO,2009,22,145,,8.0
56,CO,2010,23,104,,17.0
57,CO,2011,23,126,,15.0
58,CO,2012,16,148,,22.0
59,CO,2013,29,130,,11.0
60,CO,2014,21,132,,14.0
61,CO,2015,23,148,,6.0
62,CO,2016,28,184,,14.0
63,CO,2017,34,229,,34.0
64,CT,1998,0,2,,0.0
65,CT,1999,0,4,,0.0
66,CT,2000,1,22,,1.0
67,CT,2001,5,39,,0.0
68,CT,2002,6,17,,0.0
69,CT,2003,3,20,,0.0
70,CT,2004,2,31,,1.0
71,CT,2005,9,41,,0.0
