,region_code,state_abbr,state_fips_code,state_id,state_name
0,4,AK,2.0,1,Alaska
1,3,AL,1.0,2,Alabama
2,3,AR,5.0,3,Arkansas
3,99,AS,60.0,4,American Samoa
4,4,AZ,4.0,5,Arizona
5,4,CA,6.0,6,California
6,4,CO,8.0,7,Colorado
7,1,CT,9.0,8,Connecticut
8,99,CZ,,9,Canal Zone
9,3,DC,11.0,10,District of Columbia
10,3,DE,10.0,11,Delaware
11,3,FL,12.0,12,Florida
12,3,GA,13.0,13,Georgia
13,0,GM,66.0,14,Guam
14,4,HI,15.0,15,Hawaii
15,2,IA,19.0,16,Iowa
16,4,ID,16.0,17,Idaho
17,2,IL,17.0,18,Illinois
18,2,IN,18.0,19,Indiana
19,2,KS,20.0,20,Kansas
0,3,KY,21.0,21,Kentucky
1,3,LA,22.0,22,Louisiana
2,1,MA,25.0,23,Massachusetts
3,3,MD,24.0,24,Maryland
4,1,ME,23.0,25,Maine
5,2,MI,26.0,26,Michigan
6,2,MN,27.0,27,Minnesota
7,2,MO,29.0,28,Missouri
8,3,MS,28.0,29,Mississippi
9,4,MT,30.0,30,Montana
10,2,NE,31.0,31,Nebraska
11,3,NC,37.0,32,North Carolina
12,2,ND,38.0,33,North Dakota
13,1,NH,33.0,34,New Hampshire
14,1,NJ,34.0,35,New Jersey
15,4,NM,35.0,36,New Mexico
16,4,NV,32.0,37,Nevada
17,1,NY,36.0,38,New York
18,2,OH,39.0,39,Ohio
19,3,OK,40.0,40,Oklahoma
0,4,OR,41.0,41,Oregon
1,1,PA,42.0,42,Pennsylvania
2,1,PR,72.0,43,Puerto Rico
3,1,RI,44.0,44,Rhode Island
4,3,SC,45.0,45,South Carolina
5,2,SD,46.0,46,South Dakota
6,3,TN,47.0,47,Tennessee
7,3,TX,48.0,48,Texas
8,4,UT,49.0,49,Utah
9,0,VI,78.0,50,U.S. Virgin Islands
10,3,VA,51.0,51,Virginia
11,1,VT,50.0,52,Vermont
12,4,WA,53.0,53,Washington
13,2,WI,55.0,54,Wisconsin
14,3,WV,54.0,55,West Virginia
15,4,WY,56.0,56,Wyoming
16,0,MP,69.0,57,Mariana Islands
17,99,OT,99.0,99,Other
