,State,Year,Unknown,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99
0,AL,1991,353,0,51,82,72,30,11,5,1,2,0
1,AL,1992,102,0,46,94,52,36,13,6,4,1,0
2,AL,2006,0,0,3,2,0,0,0,0,0,0,0
3,AL,2008,0,0,2,0,1,0,0,0,0,0,0
4,AL,2009,0,0,0,1,0,2,0,0,0,0,0
5,AL,2010,0,0,0,3,0,0,0,0,0,0,0
6,AL,2012,0,0,0,1,1,0,0,0,0,0,0
7,AL,2013,0,0,0,1,0,0,1,0,0,0,0
8,AL,2014,0,0,0,1,0,0,0,0,0,0,0
9,AL,2015,0,0,0,2,1,0,0,0,0,0,0
10,AL,2016,0,0,3,1,0,0,0,0,0,0,0
11,AL,2017,0,0,2,1,0,0,0,0,0,0,0
12,AR,2001,0,0,0,2,0,0,0,0,0,0,0
13,AR,2002,0,0,0,1,0,1,0,0,0,0,0
14,AR,2003,4,0,9,15,6,7,2,2,0,0,0
15,AR,2004,9,0,7,30,15,17,5,1,0,0,0
16,AR,2005,14,0,23,37,19,13,4,3,0,0,1
17,AR,2006,15,0,13,30,24,17,3,1,0,0,0
18,AR,2007,11,0,14,31,16,20,8,3,0,1,0
19,AR,2008,11,0,16,39,20,9,9,5,2,0,0
20,AR,2009,33,0,31,89,28,18,5,6,1,0,0
21,AR,2010,25,0,24,48,29,14,6,3,0,1,0
22,AR,2011,40,0,17,64,32,20,8,3,1,0,1
23,AR,2012,43,0,33,74,46,22,10,2,0,0,0
24,AR,2013,27,0,19,72,22,23,14,2,2,1,0
25,AR,2014,30,0,15,79,37,14,14,6,1,0,0
26,AR,2015,24,0,33,88,37,22,21,2,2,0,0
27,AR,2016,36,0,32,96,41,22,19,4,2,0,0
28,AR,2017,57,0,42,90,48,32,13,3,1,0,0
29,AZ,2005,0,0,0,0,1,0,1,0,0,0,0
30,AZ,2006,0,0,0,1,1,1,0,0,1,0,0
31,AZ,2007,0,0,0,3,2,3,0,0,0,0,0
32,AZ,2008,0,0,2,2,0,0,0,0,0,0,0
33,AZ,2009,0,0,1,7,5,0,0,0,0,0,0
34,AZ,2010,0,0,2,5,4,1,1,0,0,0,0
35,AZ,2011,0,0,2,4,6,0,1,1,4,0,0
36,AZ,2012,0,0,0,0,3,3,0,1,0,0,0
37,AZ,2013,2,0,0,7,6,2,3,1,0,0,0
38,AZ,2014,1,0,0,4,0,2,2,0,0,0,0
39,AZ,2015,0,0,4,7,1,0,0,1,0,0,0
40,AZ,2016,0,0,1,6,2,1,0,0,1,0,0
41,AZ,2017,2,0,6,3,5,5,3,0,0,0,0
42,CO,1992,0,0,0,0,2,3,0,0,0,0,0
43,CO,1997,10,0,17,19,13,9,3,1,0,1,0
44,CO,1998,11,0,21,25,9,2,3,2,0,0,0
45,CO,1999,8,0,23,29,17,8,4,0,0,0,0
46,CO,2000,16,0,16,24,11,8,5,3,0,0,0
47,CO,2001,8,0,24,31,10,5,6,3,0,1,0
48,CO,2002,14,0,4,39,13,12,2,3,0,1,0
