,State,Year,Relationship Unknown,Acquaintance,Babysittee,BF_GF,Child,Child_BF_GF,Common Law Spouse,Employee,Employer,Ex Spouse,Friend,Grandchild,Grandparent,Same Sex Relationship,In Law,Neighbor,Offender,Other Family Member,Otherwise Known,Parent,Sibling,Spouse,Stepchild,Stepparent,Stepsibling,Stranger,Relationship Unkown
0,AL,1991,86,136,0,48,9,0,4,3,0,6,45,0,0,1,5,15,0,16,1,7,6,38,0,2,0,179,86.0
1,AL,1992,126,76,0,17,7,0,5,0,0,4,24,0,0,1,5,3,0,11,1,3,4,20,1,1,0,45,126.0
2,AL,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
3,AL,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
4,AL,2009,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
5,AL,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0
6,AL,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0
7,AL,2013,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,AL,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
9,AL,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
10,AL,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
11,AL,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0
12,AR,2001,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,AR,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
14,AR,2003,22,9,0,2,3,0,0,0,0,1,2,0,0,0,0,1,0,0,1,1,1,3,1,0,0,0,22.0
15,AR,2004,49,15,0,4,1,0,1,0,0,0,1,0,0,0,3,0,0,0,5,0,1,3,0,0,1,7,49.0
16,AR,2005,67,23,1,7,2,0,0,0,0,1,1,0,0,0,0,0,0,2,11,2,5,3,0,0,0,3,67.0
17,AR,2006,59,21,1,8,5,2,1,0,0,0,2,0,1,0,1,0,0,3,13,1,0,3,0,1,0,2,59.0
18,AR,2007,62,22,0,6,1,0,0,0,0,0,3,0,0,0,2,1,0,0,8,3,4,7,0,1,0,13,62.0
19,AR,2008,84,12,0,4,2,1,0,0,1,1,2,0,0,0,1,0,0,3,11,0,0,6,1,1,0,15,84.0
20,AR,2009,121,56,0,7,5,1,0,0,0,1,1,0,0,0,0,1,0,1,13,3,1,8,0,0,0,6,121.0
21,AR,2010,88,21,0,8,3,0,1,0,0,1,2,0,0,1,0,1,0,2,11,1,1,4,2,1,0,15,88.0
22,AR,2011,131,19,0,9,2,2,1,0,0,0,0,0,0,0,0,1,1,2,8,2,0,6,0,1,1,13,131.0
23,AR,2012,148,40,1,9,1,0,0,0,1,2,3,0,0,1,0,1,2,1,10,1,0,6,0,0,0,14,148.0
24,AR,2013,110,28,0,5,3,0,0,0,0,0,3,0,1,0,2,1,1,3,7,1,4,10,0,1,0,14,110.0
25,AR,2014,151,22,0,8,5,0,0,0,0,0,4,0,3,0,1,0,1,2,16,4,1,3,1,0,0,6,151.0
26,AR,2015,140,36,0,12,4,0,1,0,0,0,9,0,2,1,0,0,3,5,26,1,3,7,0,1,0,3,140.0
27,AR,2016,179,29,0,14,5,2,0,0,0,1,10,0,0,0,2,1,1,6,19,2,7,8,0,0,0,8,179.0
28,AR,2017,220,33,1,6,9,3,0,0,0,1,10,0,1,1,1,1,1,1,17,4,2,14,1,1,0,13,220.0
29,AZ,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
30,AZ,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0.0
31,AZ,2007,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0.0
