,State,Year,Unknown,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99
0,AL,1991,28,11,54,131,105,49,16,20,12,7,1
1,AL,1992,12,10,33,67,70,43,16,15,7,5,0
2,AL,2006,0,0,0,2,0,0,0,0,0,0,0
3,AL,2008,0,0,0,0,0,1,1,0,0,0,0
4,AL,2009,0,0,0,1,1,0,0,0,0,0,0
5,AL,2010,0,0,0,1,0,0,0,0,0,0,0
6,AL,2012,0,0,1,0,0,0,0,1,0,0,0
7,AL,2013,0,0,0,0,2,0,0,0,0,0,0
8,AL,2014,0,0,0,1,0,0,0,0,0,0,0
9,AL,2015,0,0,0,1,1,1,0,0,0,0,0
10,AL,2016,1,0,0,0,2,0,0,0,0,0,0
11,AL,2017,0,0,1,1,0,0,0,0,0,0,0
12,AR,2001,0,0,0,0,1,0,0,0,0,0,0
13,AR,2002,0,0,0,2,0,1,0,0,0,0,0
14,AR,2003,4,2,3,11,10,8,3,0,1,1,0
15,AR,2004,9,2,2,18,14,15,5,6,2,1,1
16,AR,2005,9,2,6,36,21,11,8,8,0,1,1
17,AR,2006,10,10,12,23,20,12,10,6,2,1,0
18,AR,2007,7,3,12,28,22,15,14,4,0,4,0
19,AR,2008,12,4,7,26,23,17,8,3,4,0,0
20,AR,2009,12,3,10,51,27,23,28,6,10,1,0
21,AR,2010,7,3,9,31,30,26,13,7,4,2,0
22,AR,2011,5,2,9,68,32,19,14,7,2,0,1
23,AR,2012,6,6,16,50,32,26,23,9,3,1,1
24,AR,2013,5,4,9,42,42,26,13,9,5,0,0
25,AR,2014,7,3,12,43,31,30,16,14,8,1,0
26,AR,2015,3,4,15,50,33,27,23,14,8,1,1
27,AR,2016,1,12,14,57,47,31,33,10,3,2,0
28,AR,2017,7,12,31,69,47,38,26,10,7,0,3
29,AZ,2005,0,0,0,0,1,1,0,0,0,0,0
30,AZ,2006,0,0,0,0,1,0,0,1,0,0,0
31,AZ,2007,0,1,0,5,1,2,0,1,0,0,0
32,AZ,2008,0,1,1,1,1,0,0,0,0,0,0
33,AZ,2009,0,2,0,4,2,2,0,0,0,0,0
34,AZ,2010,1,1,0,3,5,0,1,0,0,0,0
35,AZ,2011,0,1,1,2,0,3,3,2,2,0,0
36,AZ,2012,0,1,1,2,1,3,0,1,0,0,0
37,AZ,2013,0,4,3,3,0,1,1,1,0,0,0
38,AZ,2014,1,4,0,1,1,3,0,0,0,0,0
39,AZ,2015,0,0,2,4,0,1,0,3,0,0,0
40,AZ,2016,0,1,1,2,3,1,1,1,0,1,0
41,AZ,2017,0,6,1,5,2,3,1,3,2,1,1
42,CO,1992,0,0,0,0,2,1,0,0,0,0,0
43,CO,1997,1,5,7,12,12,14,5,1,4,1,0
44,CO,1998,2,7,10,17,9,3,7,5,0,0,0
45,CO,1999,1,3,25,26,13,14,3,1,2,1,0
46,CO,2000,5,8,6,15,12,14,4,0,0,2,0
